model_id,nominal_coverage,empirical_coverage,mean_width_w_m2,n
ridge_mos,50,32.33193603477721,72.6301958296791,12882
ridge_mos,80,65.89038969104176,169.7263373801619,12882
ridge_mos,90,84.039745381152,295.5645434151735,12882
lgbm,50,41.26688402421984,127.61962658814268,12882
lgbm,80,70.90513895357864,235.8308683696058,12882
lgbm,90,85.9882005899705,318.037817161568,12882
xgboost,50,45.9944108057755,141.21863685601215,12882
xgboost,80,78.91631734202763,261.51140016175145,12882
xgboost,90,87.90560471976401,321.9883560849138,12882
