target_time_utc,y,point_prediction,local_day,q0.05,q0.10,q0.25,q0.50,q0.75,q0.90,q0.95,local_hour
2026-08-17 23:00:00+00:00,147.2,102.0,2026-08-18,52.45772776603699,65.22716197967529,107.763069152832,124.87862091064454,143.28847961425777,185.2947076416016,193.2340008544922,7
2026-08-18 00:00:00+00:00,362.8,308.0,2026-08-18,146.90112528800964,185.9341817855835,265.73706817626953,301.68320922851564,348.15485839843745,382.98710571289064,391.22302978515626,8
2026-08-18 01:00:00+00:00,561.0,510.0,2026-08-18,236.0844443798065,336.5953603744507,392.8221206665039,508.079052734375,574.8321960449218,581.0964501953125,591.2269970703124,9
2026-08-18 02:00:00+00:00,669.3,650.0,2026-08-18,189.43167338371276,265.00179347991946,371.3779067993164,479.52845458984376,685.2957580566406,724.7674096679688,750.5595776367187,10
2026-08-18 03:00:00+00:00,704.3,782.0,2026-08-18,277.39006266593935,402.74297389984133,478.5291519165039,568.4931762695312,808.6835144042968,861.6123120117187,863.1175073242188,11
2026-08-18 04:00:00+00:00,621.3,837.0,2026-08-18,306.47792277336123,424.89177761077883,520.9847183227539,656.8457153320312,868.5066955566406,933.7614892578125,935.986396484375,12
2026-08-18 05:00:00+00:00,632.2,708.0,2026-08-18,222.32979044914245,334.4186025619507,429.4358901977539,612.4575927734375,844.4994934082031,935.404365234375,956.2414086914063,13
2026-08-18 06:00:00+00:00,542.2,737.0,2026-08-18,303.16493449211123,378.34810695648196,479.3747024536133,618.8983276367187,823.0698059082031,889.54212890625,914.4293896484374,14
2026-08-18 07:00:00+00:00,699.3,684.0,2026-08-18,232.6923240184784,304.43352565765383,413.9975357055664,567.6336181640625,737.9811828613281,805.3991845703125,812.03888671875,15
2026-08-18 08:00:00+00:00,611.0,537.0,2026-08-18,167.17412028312683,216.6528860092163,330.37589263916016,491.18101196289064,574.6951721191406,629.6655419921875,649.5102612304687,16
2026-08-18 09:00:00+00:00,404.0,369.0,2026-08-18,124.59240946769714,176.53865871429443,270.21863555908203,376.089306640625,420.25458984374995,441.0051416015625,450.60617797851563,17
2026-08-18 10:00:00+00:00,188.8,148.0,2026-08-18,49.27026972770691,66.37779674530029,126.41934967041013,176.64048461914064,202.3314788818359,224.4413598632813,229.16390197753907,18
