lead_time,cloud_cover_fcst,kt_fcst,ghi_fcst,ghi_clear_sky
24,100.0,0.015978714130660963,2.0,125.16651738341535
48,100.0,0.023968071195991446,3.0,125.16651738341535
72,100.0,0.023968071195991446,3.0,125.16651738341535
24,100.0,0.03392183849902341,11.0,324.2748767970428
48,100.0,0.055508462998401946,18.0,324.2748767970428
72,100.0,0.04008944549884585,13.0,324.2748767970428
24,100.0,0.03656595964504198,18.0,492.2611131974117
48,100.0,0.040628844050046645,20.0,492.2611131974117
72,100.0,0.044691728455051316,22.0,492.2611131974117
24,100.0,0.03616459036856991,22.0,608.3298545839431
48,100.0,0.03452074535181673,21.0,608.3298545839431
72,100.0,0.044383815452335794,27.0,608.3298545839431
24,100.0,0.04528243132136007,30.0,662.508596040177
48,100.0,0.052829503208253414,35.0,662.508596040177
72,100.0,0.03169770192495205,21.0,662.508596040177
24,100.0,0.03074337891940399,20.0,650.5465795555999
48,100.0,0.05072657521701658,33.0,650.5465795555999
72,100.0,0.03074337891940399,20.0,650.5465795555999
24,100.0,0.027905287286489684,16.0,573.3680444044876
48,100.0,0.027905287286489684,16.0,573.3680444044876
72,100.0,0.04011385047432892,23.0,573.3680444044876
24,100.0,0.02745048217648489,12.0,437.1507911172376
48,100.0,0.022875401813737407,10.0,437.1507911172376
72,100.0,0.02516294199511115,11.0,437.1507911172376
24,100.0,0.05500373861437921,14.0,254.52815304340214
48,100.0,0.03143070777964526,8.0,254.52815304340214
72,100.0,0.047146061669467894,12.0,254.52815304340214
24,100.0,0.10465490400896095,6.0,57.3312837732502
48,100.0,0.052327452004480475,3.0,57.3312837732502
72,100.0,0.052327452004480475,3.0,57.3312837732502
24,100.0,0.05485559681522649,7.0,127.60776304336883
48,100.0,0.015673027661493283,2.0,127.60776304336883
72,100.0,0.031346055322986566,4.0,127.60776304336883
24,100.0,0.09165778980756369,30.0,327.3044229299578
48,100.0,0.03666311592302547,12.0,327.3044229299578
72,100.0,0.03666311592302547,12.0,327.3044229299578
