site,target_time_utc,lead,gfs_service_latitude,gfs_service_longitude,solar_elevation,ghi_raw,dhi_raw,dni_raw,gti_raw,terrestrial_raw,cloud_cover_raw,ghi_obs_sat,ghi_clear_sky
taizhou_1,2026-04-12 22:00:00+00:00,D+1,32.743248,119.765625,-1.7311304385106485,0.0,3.0,0.0,2.8,19.2,100.0,,2.201608198052813
yancheng_2,2026-04-12 22:00:00+00:00,D+1,33.094696,120.58594,-0.9860793847330261,0.0,3.0,0.0,2.8,26.0,100.0,0.8,4.913617718900551
yancheng_3,2026-04-12 22:00:00+00:00,D+1,33.094696,119.765625,-1.659367629010531,0.0,3.0,0.0,2.8,19.7,100.0,,2.298504716758734
suzhou_1,2026-04-13 11:00:00+00:00,D+1,31.454605,121.05469,-2.3310753430990117,0.0,2.0,0.0,1.9,14.8,100.0,0.0,1.8957596270849528
nantong_1,2026-04-14 11:00:00+00:00,D+1,31.923203,121.05469,-2.087804264527383,0.0,1.0,0.0,0.9,16.5,100.0,0.8,2.843744232278388
huai_an_1,2026-04-16 11:00:00+00:00,D+1,33.094696,119.41406,0.3184936874868041,0.0,5.0,0.0,4.7,34.4,100.0,0.5,5.109930404150105
huai_an_2,2026-04-16 11:00:00+00:00,D+1,33.91474,119.41406,0.4674574762394121,0.0,6.0,0.0,5.7,36.1,100.0,0.2,5.613099421549612
nantong_1,2026-04-16 11:00:00+00:00,D+1,31.923203,121.05469,-1.7992419495067498,0.0,3.0,0.0,2.8,18.7,100.0,0.2,3.3358788769698595
nantong_2,2026-04-16 11:00:00+00:00,D+1,31.923203,121.75781,-2.379796039859007,0.0,2.0,0.0,1.9,14.1,100.0,0.0,1.2006471476136098
suzhou_1,2026-04-16 11:00:00+00:00,D+1,31.454605,121.05469,-1.9062013355192775,0.0,3.0,0.0,2.8,18.0,100.0,0.2,2.473531212557788
yancheng_1,2026-04-16 11:00:00+00:00,D+1,33.91474,119.765625,0.22611461208086747,0.0,5.0,0.0,4.7,32.8,100.0,1.3,4.936988288800429
yancheng_2,2026-04-16 11:00:00+00:00,D+1,33.094696,120.58594,-1.1488851435586596,0.0,3.0,0.0,2.8,24.2,100.0,,4.227107603378453
