solar_bin,lead,month,site,n,n_valid,median,p90,p95,p99,max,p_gt_1,p_gt_1_2,p_gt_1_5,p_gt_2,p_gt_3,p_gt_5
<=10,D+1,2024-02,yancheng_1,431.0,20.0,2.124005395950827,2.5955686716455,2.6348985140523222,2.7502605459862606,2.7791010539697454,0.8,0.8,0.7,0.55,0.0,0.0
<=10,D+1,2024-02,yancheng_2,433.0,27.0,1.6055386095877864,2.4434856642090272,2.557170517607906,2.605821883298376,2.6103330231508055,0.5925925925925926,0.5555555555555556,0.5185185185185185,0.2962962962962963,0.0,0.0
<=10,D+1,2024-02,yancheng_3,430.0,20.0,1.8029674304004564,2.554695234432567,2.5694970663493666,2.6031617235766173,2.6115778878834304,0.65,0.6,0.55,0.45,0.0,0.0
<=10,D+1,2024-03,changzhou_1,418.0,12.0,0.26614649658884504,0.3304485486163547,0.33625004996716246,0.34038871952076827,0.34142338690916973,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,huai_an_1,420.0,12.0,0.2957274385962374,0.32687419222913155,0.33587416612796345,0.34290713983524107,0.3446653832620605,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,huai_an_2,420.0,12.0,0.2803428779567935,0.3138775107647029,0.33144164440561286,0.3484756023690575,0.3527340918599186,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,huai_an_3,422.0,11.0,0.30246223477177553,0.34955705295460276,0.3571777792909243,0.3632743603599816,0.3647985056272459,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,lianyungang_1,423.0,12.0,0.29819957526235036,0.38485034410712,0.38894943842659035,0.39060245652208386,0.3910157110459572,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,lianyungang_2,420.0,11.0,0.3038281000371269,0.316854446482411,0.33151281339351424,0.34323950692239685,0.34617118030461747,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,nanjing_1,422.0,12.0,0.28881603477594975,0.35194746972182867,0.3639368210801045,0.3712316404240852,0.37305534526008033,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,nanjing_2,420.0,12.0,0.23851872789161443,0.31315544980474674,0.3201093461932657,0.32613847295005743,0.3276457546392554,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,nantong_1,414.0,11.0,0.25743105677836753,0.3097155375546399,0.31743486657665576,0.3236103297942685,0.3251541955986717,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,nantong_2,414.0,11.0,0.3905101195128406,0.8683863930557498,1.702556530496154,2.369892640448478,2.5367266679365583,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0
<=10,D+1,2024-03,suqian_1,423.0,11.0,0.2736494410863706,0.35788582368681804,0.3669734430707695,0.37424353857793063,0.37606106245472093,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,suzhou_1,414.0,11.0,0.24132693805603644,0.33565777402132146,0.3435088581279564,0.3497897254132644,0.3513599422345914,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,taizhou_1,418.0,12.0,0.27319676367743695,0.320456656060469,0.33204379704001924,0.342639358675835,0.34528824908478895,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,taizhou_2,416.0,13.0,0.2304099599431426,0.300436971726316,0.30689490434488487,0.31019247537307465,0.31101686813012214,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,wuxi_1,416.0,13.0,0.31393822922584075,0.369504395097122,0.3796542012011695,0.3906855391555521,0.3934433736441478,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,xuzhou_1,428.0,10.0,0.2370718609287203,0.39266533120878805,0.39363184695994385,0.3944050595608685,0.39459836271109966,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,xuzhou_2,426.0,11.0,0.22116445854528896,0.3715392503997831,0.3891774494146546,0.4032880086265519,0.40681564842952617,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,yancheng_1,419.0,12.0,0.28774681756976334,0.3137537999444115,0.32966140923227516,0.34495936680740247,0.34878385620118424,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,yancheng_2,416.0,13.0,0.21252315638247862,0.3072645024870512,0.31618441729480395,0.31971270030762,0.320594771060824,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-03,yancheng_3,419.0,13.0,0.294551881420187,0.3118652101598325,0.3244894029263413,0.3380484116162095,0.3414381637886766,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-04,changzhou_1,390.0,4.0,0.03664046787866573,0.1064053374810763,0.12120635850467426,0.13304717532355267,0.1360073795282723,0.0,0.0,0.0,0.0,0.0,0.0
<=10,D+1,2024-04,huai_an_1,390.0,7.0,0.15759233164544445,1.5802228055449827,2.429304672382058,3.108570165851722,3.278386539219139,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
<=10,D+1,2024-04,huai_an_2,390.0,10.0,0.3466140765269763,3.1659599999812618,3.230863486966363,3.282786276554444,3.2957669739514643,0.3,0.3,0.3,0.3,0.3,0.0
<=10,D+1,2024-04,huai_an_3,390.0,9.0,3.120604571864829,3.3493868058804157,3.3590293522024557,3.3667433892600873,3.3686718985244952,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.0
<=10,D+1,2024-04,lianyungang_1,390.0,13.0,2.302830080084963,3.098301009035439,3.1884523427051135,3.268004700398839,3.2878927898222705,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5384615384615384,0.23076923076923078,0.0
<=10,D+1,2024-04,lianyungang_2,390.0,12.0,0.4204644696195444,3.1432715105625437,3.1999999421283682,3.2513881997515965,3.2642352641574037,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0
<=10,D+1,2024-04,nanjing_1,390.0,6.0,2.079443723513641,3.261029999217408,3.296741812416851,3.3253112629764052,3.3324536256162935,0.6666666666666666,0.6666666666666666,0.5,0.5,0.3333333333333333,0.0
