target_time_utc,forecast_issue_time_utc,lead_time,value__ghi_fcst,shap__ghi_fcst,value__dhi_fcst,shap__dhi_fcst,value__gti_fcst,shap__gti_fcst,value__rh_fcst,shap__rh_fcst,value__terrestrial_fcst,shap__terrestrial_fcst,value__solar_elevation,shap__solar_elevation,value__temp_fcst,shap__temp_fcst,value__dni_fcst,shap__dni_fcst,value__diffuse_fraction,shap__diffuse_fraction,value__ghi_fcst_lag1,shap__ghi_fcst_lag1,value__cloud_cover_roll3,shap__cloud_cover_roll3,value__ghi_fcst_lag2,shap__ghi_fcst_lag2,value__wind_dir_cos,shap__wind_dir_cos,value__ghi_clear_sky,shap__ghi_clear_sky,value__doy_cos,shap__doy_cos
2025-06-11 00:00:00+00:00,2025-06-10 00:00:00+00:00,24,-0.43016188029654273,-77.37822496914596,0.18964886105299278,23.683036339183964,-0.6020802277993946,-24.594963076831633,0.8072017901338276,-39.358241309974,-0.19330221011351134,18.12203448798582,0.041053243722459595,-1.216020264895907,0.3123365564259234,-8.330575014644609,-0.6294759028965285,-8.01073708715507,1.2477452882349676,-12.305475907820751,-0.630313034299777,-6.040717666180556,0.8564848271208129,-10.334210483589983,-0.9171069372097944,-6.951708019234043,0.08238996567589232,-2.707652718314284,0.028856500346822907,0.6293795030109941,-1.307139623749093,3.628997083156018
2025-06-11 00:00:00+00:00,2025-06-08 00:00:00+00:00,72,-0.03490608822657642,6.735844188598956,0.6757763160968805,24.225388968125017,-0.3146553825579262,-3.3236338963953265,0.6205525920439321,-47.343875725459085,-0.19330221011351134,8.027091648704674,0.041053243722459595,0.4190926462646779,0.5270798852837278,-8.735256840397403,-0.10904422554709006,-12.404601359857095,0.7731946803921304,-11.03949462905965,-0.5403533694345911,-4.832427330745989,0.6828940782431446,-7.710179364289098,-0.9267510199266455,-4.665920321804694,0.027933819155876498,-4.556428547775805,0.028856500346822907,1.811302502140104,-1.307139623749093,5.461173447826164
2025-06-11 01:00:00+00:00,2025-06-08 01:00:00+00:00,72,0.2956095310043437,25.66817723505313,1.4900398032953925,25.419327991280788,0.03156090830111509,2.1553244917807257,0.5272279929989844,-41.83546642625911,0.4364228663179325,14.833754400695641,0.6535910195800128,9.920278757390701,0.6559258825984104,-4.651373670473203,-0.2844179869175762,-14.450620007641339,1.1098488353078866,-16.64981241948865,-0.010590898561829777,-3.6760255813081026,0.8564848271208129,-12.983320972410915,-0.46383504951778937,-4.5107412137740255,0.027933819155876498,-2.8725608213515685,0.6559625912879533,2.473136192807071,-1.307139623749093,9.239647333702829
2025-06-11 02:00:00+00:00,2025-06-08 02:00:00+00:00,72,1.000936677198163,110.20326321243796,2.425835154254876,28.7634578754542,0.6658241761012816,15.687565737495737,0.38724109443156274,-60.2299256574498,0.9554270501900018,15.280115213786196,1.2650147272426207,10.95784998993635,0.8062462127988739,-6.671487794209777,0.06164397731349747,-25.795634544362038,0.7690769694355409,-21.833818019006273,0.31259752706494914,-5.0990921946299075,0.8564848271208129,-11.28977631241162,0.0473013344753227,-2.344761423072254,-0.02655552079778641,-4.9752421515083,1.1482411897926803,4.510178748315052,-1.307139623749093,9.212670049180524
2025-06-11 03:00:00+00:00,2025-06-08 03:00:00+00:00,72,1.338267051464772,228.11422152939716,2.960575354803153,33.20180308573687,0.9915101208716469,34.1062606100945,0.20059189634166727,-11.390345817204278,1.3285777505944325,20.435655738812855,1.8490384794482497,13.582499866015365,0.9350922101135565,-2.499683669505064,0.10214059014904851,-12.493071522102598,0.7411077420603904,-19.946391307661344,1.0022882910313742,-0.08678886742368322,0.8564848271208129,-9.192244688789396,0.35912667565351053,0.54199371057438,-0.2703902179910269,-4.368822344290409,1.4669106224390085,6.973388396104365,-1.307139623749093,6.048432379456373
2025-06-11 04:00:00+00:00,2025-06-09 04:00:00+00:00,48,1.9141138519804988,341.5337014198357,1.6601844125607532,34.70468255855071,1.5212552631294611,42.16567079877466,-0.5460048960179147,21.82396607101426,1.5303239923252168,22.891677855348618,2.2359372283433494,13.464192990293453,1.1176240396426902,2.265419717009446,0.9642833559703692,-13.97915128802318,-0.6943549549795317,-11.887734654442864,1.4520866153573038,19.2779464049731,0.8564848271208129,-6.34852661584041,1.1917324835416616,5.153897859113419,-0.053791891784217866,-8.023401048807756,1.5881281487135963,7.2805714507566055,-1.307139623749093,4.896577730774994
2025-06-11 05:00:00+00:00,2025-06-09 05:00:00+00:00,48,1.5870056102674233,294.41638594717017,3.3251709460860686,36.368449520871955,1.2332082861883362,36.72167954060576,-0.5926671955403886,30.68427950037597,1.5470918198041603,24.082274273262346,1.9427105835737,14.443212744011642,1.149835538971361,1.1659719683552476,0.15836729226783033,-8.481751271204413,0.7038045405467669,-10.88598465747393,1.8952212608043304,25.98732030266835,0.8564848271208129,-7.85217868920717,1.458552105374544,12.774157608856425,-0.08101166731780222,-8.659778355181666,1.5030199013651016,5.625906088959278,-1.307139623749093,6.292004115131019
2025-06-11 06:00:00+00:00,2025-06-09 06:00:00+00:00,48,1.477969529696398,278.0926779350273,2.839043491042181,34.96525116590532,1.1165585925026755,36.52649260630495,-0.31269339840554533,33.67380940037664,1.3775504530726177,20.310370546434882,1.3712438602801005,13.291556172739586,1.0209895416566783,-0.4726411517192731,0.26379235874054613,-11.421389615100985,0.4788486024810393,-10.802356885964683,1.575364674617003,14.432390986458808,0.8564848271208129,-8.230125157393301,1.8861064391549458,4.261771110354925,0.05517019014230796,-9.038243048121414,1.2178303395714467,5.679718567840054,-1.307139623749093,1.672128486726863
2025-06-11 07:00:00+00:00,2025-06-09 07:00:00+00:00,48,0.6772358130029318,89.42165347651694,2.2556905449895157,35.40114913429955,0.40204033544677403,16.298218950178846,-0.3593556979280192,29.034427035950618,1.033144599774947,17.36813265448041,0.7618180093195323,10.571274709750051,0.9995152087708976,-0.8828465081723055,-0.29947871069939275,-15.424842289600482,1.1665506076268672,-12.799511409148677,1.4687458125545603,11.864468458374496,0.8564848271208129,-10.921317967916083,1.5774957922157085,16.40014506227359,-0.2703902179910269,-6.033035301826434,0.753816334250921,2.01599097746268,-1.307139623749093,5.450467038711346
2025-06-11 08:00:00+00:00,2025-06-09 08:00:00+00:00,48,0.2581283783080538,22.87532453936493,1.4292738714149065,33.86359108296928,0.010097364662953561,2.0409449254899212,-0.21936879936059758,22.698735326583627,0.537828299166783,15.375294850734283,0.14870580130720668,2.7422466036327533,0.9350922101135565,-0.13590262920331295,-0.3563747783195886,-10.632712331277908,1.122261213049578,-14.974317512194707,0.6857635442834981,-1.4973752049473528,0.8564848271208129,-14.045333724622479,1.474625576569296,9.947937368358133,-0.4033490843377302,-1.9520071609228993,0.147084547597164,2.9406949453821514,-1.307139623749093,3.6611292904167025
2025-06-11 09:00:00+00:00,2025-06-10 09:00:00+00:00,24,-0.5869012461173915,-118.46175267731844,-0.04126168009285388,17.566994616570728,-0.7112643410891731,-24.56457720014395,0.43390339395403665,-9.304169922572026,-0.07486279379398789,33.95229584892846,-0.4567265020409094,-3.4979804961263024,0.6881373819270813,2.2070095225744075,-0.847689056357515,-8.403189650470605,1.4838493242072373,-11.366888719337368,0.23263338051811724,-2.6025553665100407,0.8564848271208129,-12.497484440279951,0.3687707583703617,-1.070892978262728,-1.436296118984745,8.944485839567559,-0.5492055340677674,-2.6585403280704742,-1.307139623749093,4.181790749214916
