outer_fold,inner_fold,group,repeat,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_1,inner_1,radiation,0,546,41.86294065076183,93.75267487056897,51.88973421980714
outer_1,inner_1,radiation,1,546,41.86294065076183,90.4342510560776,48.57131040531577
outer_1,inner_1,radiation,2,546,41.86294065076183,95.62094753883804,53.75800688807621
outer_1,inner_1,clear_sky_kt,0,546,41.86294065076183,44.35471652665605,2.49177587589422
outer_1,inner_1,clear_sky_kt,1,546,41.86294065076183,44.55016775308753,2.6872271023257
outer_1,inner_1,clear_sky_kt,2,546,41.86294065076183,44.882338714784574,3.019398064022745
outer_1,inner_1,cloud,0,546,41.86294065076183,41.85191062471407,-0.011030026047755825
outer_1,inner_1,cloud,1,546,41.86294065076183,41.958478063310565,0.09553741254873671
outer_1,inner_1,cloud,2,546,41.86294065076183,41.85883623154039,-0.0041044192214414466
outer_1,inner_1,meteorology,0,546,41.86294065076183,42.9524773940524,1.089536743290573
outer_1,inner_1,meteorology,1,546,41.86294065076183,43.67275360943719,1.8098129586753586
outer_1,inner_1,meteorology,2,546,41.86294065076183,42.97562081040199,1.1126801596401634
outer_1,inner_1,solar_geometry,0,546,41.86294065076183,42.75948276212819,0.8965421113663581
outer_1,inner_1,solar_geometry,1,546,41.86294065076183,42.79967684828514,0.9367361975233095
outer_1,inner_1,solar_geometry,2,546,41.86294065076183,42.441347189788914,0.5784065390270854
outer_1,inner_1,temporal_dynamics,0,546,41.86294065076183,45.049425210136704,3.1864845593748754
outer_1,inner_1,temporal_dynamics,1,546,41.86294065076183,44.677104216983096,2.814163566221268
outer_1,inner_1,temporal_dynamics,2,546,41.86294065076183,44.86668680906726,3.0037461583054323
outer_1,inner_2,radiation,0,546,30.65732247888226,117.8733114834071,87.21598900452483
outer_1,inner_2,radiation,1,546,30.65732247888226,110.94506968705929,80.28774720817702
outer_1,inner_2,radiation,2,546,30.65732247888226,122.84542847944978,92.18810600056752
outer_1,inner_2,clear_sky_kt,0,546,30.65732247888226,34.18948451477416,3.532162035891897
outer_1,inner_2,clear_sky_kt,1,546,30.65732247888226,34.558398860562114,3.9010763816798537
outer_1,inner_2,clear_sky_kt,2,546,30.65732247888226,34.61378959697786,3.956467118095599
outer_1,inner_2,cloud,0,546,30.65732247888226,30.992990499348455,0.33566802046619415
outer_1,inner_2,cloud,1,546,30.65732247888226,31.07768521706284,0.4203627381805788
outer_1,inner_2,cloud,2,546,30.65732247888226,31.043794058599953,0.38647157971769275
outer_1,inner_2,meteorology,0,546,30.65732247888226,37.8071685465311,7.149846067648841
