outer_fold,inner_fold,group,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_1,inner_1,radiation,546,41.86294065076183,42.784160763113206,0.9212201123513779
outer_1,inner_1,clear_sky_kt,546,41.86294065076183,41.01892214121927,-0.8440185095425576
outer_1,inner_1,cloud,546,41.86294065076183,41.47185953524488,-0.3910811155169469
outer_1,inner_1,meteorology,546,41.86294065076183,38.01244508029934,-3.850495570462492
outer_1,inner_1,solar_geometry,546,41.86294065076183,42.753263777917816,0.8903231271559875
outer_1,inner_1,temporal_dynamics,546,41.86294065076183,38.71083004713515,-3.1521106036266815
outer_1,inner_2,radiation,546,30.65732247888226,33.536571989101894,2.8792495102196334
outer_1,inner_2,clear_sky_kt,546,30.65732247888226,31.06727557061539,0.4099530917331293
outer_1,inner_2,cloud,546,30.65732247888226,31.004493809294615,0.3471713304123547
outer_1,inner_2,meteorology,546,30.65732247888226,31.126516878985036,0.4691944001027757
outer_1,inner_2,solar_geometry,546,30.65732247888226,32.00912707087195,1.351804591989687
outer_1,inner_2,temporal_dynamics,546,30.65732247888226,28.61632284062533,-2.040999638256931
outer_1,inner_3,radiation,570,35.91833259902701,39.10980754514563,3.1914749461186176
outer_1,inner_3,clear_sky_kt,570,35.91833259902701,36.37367612885505,0.45534352982804194
outer_1,inner_3,cloud,570,35.91833259902701,37.289637022975626,1.3713044239486152
outer_1,inner_3,meteorology,570,35.91833259902701,41.73126109635104,5.81292849732403
outer_1,inner_3,solar_geometry,570,35.91833259902701,37.48323788114279,1.564905282115781
outer_1,inner_3,temporal_dynamics,570,35.91833259902701,32.067601334222246,-3.8507312648047645
outer_2,inner_1,radiation,585,30.886233810964963,30.593421696728893,-0.2928121142360709
outer_2,inner_1,clear_sky_kt,585,30.886233810964963,30.23859175292413,-0.6476420580408337
outer_2,inner_1,cloud,585,30.886233810964963,30.727524642076425,-0.1587091688885387
outer_2,inner_1,meteorology,585,30.886233810964963,30.023710326569923,-0.8625234843950409
outer_2,inner_1,solar_geometry,585,30.886233810964963,32.12615853419184,1.2399247232268742
outer_2,inner_1,temporal_dynamics,585,30.886233810964963,29.763386377193015,-1.1228474337719483
outer_2,inner_2,radiation,546,30.00699029089944,28.47071028958379,-1.536280001315653
outer_2,inner_2,clear_sky_kt,546,30.00699029089944,30.012046701547614,0.005056410648172971
outer_2,inner_2,cloud,546,30.00699029089944,31.98590138522419,1.9789110943247472
outer_2,inner_2,meteorology,546,30.00699029089944,37.3093772966135,7.302387005714056
outer_2,inner_2,solar_geometry,546,30.00699029089944,32.227918630621026,2.220928339721585
outer_2,inner_2,temporal_dynamics,546,30.00699029089944,27.03012303745796,-2.9768672534414797
outer_2,inner_3,radiation,546,28.603406849456277,29.27737244443068,0.6739655949744012
outer_2,inner_3,clear_sky_kt,546,28.603406849456277,28.509245910754125,-0.09416093870215292
outer_2,inner_3,cloud,546,28.603406849456277,28.828206334505598,0.22479948504932068
outer_2,inner_3,meteorology,546,28.603406849456277,30.309170273175457,1.7057634237191799
outer_2,inner_3,solar_geometry,546,28.603406849456277,27.83130336884938,-0.7721034806068978
outer_2,inner_3,temporal_dynamics,546,28.603406849456277,31.043793574762464,2.440386725306187
outer_3,inner_1,radiation,462,18.61201662114751,18.12971987877665,-0.48229674237085973
outer_3,inner_1,clear_sky_kt,462,18.61201662114751,18.571656497101216,-0.04036012404629474
outer_3,inner_1,cloud,462,18.61201662114751,18.641390528425518,0.02937390727800704
outer_3,inner_1,meteorology,462,18.61201662114751,19.97034511369752,1.358328492550008
outer_3,inner_1,solar_geometry,462,18.61201662114751,18.03986411315551,-0.5721525079920013
outer_3,inner_1,temporal_dynamics,462,18.61201662114751,17.712901404187676,-0.8991152169598351
outer_3,inner_2,radiation,462,17.618220582335635,18.0820430487843,0.463822466448665
outer_3,inner_2,clear_sky_kt,462,17.618220582335635,17.47875337893629,-0.13946720339934515
outer_3,inner_2,cloud,462,17.618220582335635,18.624142856312506,1.0059222739768714
